doctor_id,name,department,is_surgeon,experience_years
DOC_001,"Jennifer Sanchez","General Surgery",0,26
DOC_002,"Ashley Garcia","General Surgery",0,31
DOC_003,"Haley Price","Emergency Medicine",1,26
DOC_004,"Tim Vaughn",Oncology,0,23
DOC_005,"Sydney Donaldson",Cardiology,1,30
DOC_006,"John Quinn",Pediatrics,1,10
DOC_007,"Jennifer Park",Pediatrics,1,8
DOC_008,"Theresa Robles",Pulmonology,0,25
DOC_009,"Joshua Simmons",Endocrinology,1,22
DOC_010,"Cathy Vaughn","General Surgery",1,15
DOC_011,"Renee Miller",Pediatrics,1,10
DOC_012,"Kimberly Gomez",Pediatrics,0,20
DOC_013,"Joshua Foster",Endocrinology,0,23
DOC_014,"Amy Patton",Oncology,0,1
DOC_015,"Tyler Jones","Emergency Medicine",1,2
DOC_016,"Rebecca Klein",Nephrology,1,19
DOC_017,"Angel Jones",Orthopedics,0,14
DOC_018,"Mark Shaw",Nephrology,0,8
DOC_019,"Larry Clark",Orthopedics,0,12
DOC_020,"Teresa Santos",Orthopedics,0,26
DOC_021,"Nicholas Ellis",Pediatrics,0,27
DOC_022,"Jose Davis",Endocrinology,1,29
DOC_023,"Larry Ballard","General Surgery",0,15
DOC_024,"Elizabeth Patrick PhD",Cardiology,1,1
DOC_025,"Leslie Johnson",Orthopedics,0,28
DOC_026,"Matthew Harding","Emergency Medicine",0,3
DOC_027,"Lauren Wilkins",Endocrinology,0,18
DOC_028,"Cameron Sanchez",Nephrology,1,34
DOC_029,"Michael Smith",Pediatrics,0,32
DOC_030,"Lisa Jones",Oncology,1,29
DOC_031,"Sharon Simon",Pediatrics,1,25
DOC_032,"Michael Stephens",Oncology,0,26
DOC_033,"Timothy Aguirre",Neurology,1,8
DOC_034,"Veronica Sharp",Orthopedics,1,19
DOC_035,"Nicole Webster",Oncology,1,22
DOC_036,"Melissa Gonzalez",Orthopedics,1,29
DOC_037,"Brian Harris",Orthopedics,1,33
DOC_038,"Melissa Buck",Oncology,1,3
DOC_039,"Denise Gomez",Oncology,0,19
DOC_040,"Maria Davis",Cardiology,0,10
DOC_041,"Alexandra Baker",Endocrinology,1,27
DOC_042,"Sherry Moore","General Surgery",1,15
DOC_043,"Richard Jones",Cardiology,1,11
DOC_044,"Jamie Adams",Nephrology,1,26
DOC_045,"Derrick Davis",Cardiology,0,24
DOC_046,"Diana Faulkner",Orthopedics,0,13
DOC_047,"Gerald Johnson DDS",Endocrinology,0,32
DOC_048,"Randy Larsen",Neurology,0,4
DOC_049,"Cody Hammond",Oncology,1,13
DOC_050,"Emily Day DDS",Orthopedics,1,9
DOC_051,"Wanda Oliver","General Surgery",1,34
DOC_052,"Sarah Franklin",Pulmonology,0,7
DOC_053,"Edward King",Orthopedics,1,1
DOC_054,"Thomas Horton","General Surgery",0,12
DOC_055,"Linda Mitchell",Oncology,1,21
DOC_056,"Scott Barber",Orthopedics,1,11
DOC_057,"Melissa Cruz","Emergency Medicine",0,14
DOC_058,"Theresa Turner",Oncology,1,34
DOC_059,"Jason Wilson",Pediatrics,1,34
DOC_060,"Christine Smith","General Surgery",1,25
DOC_061,"Gregory Torres",Pediatrics,0,4
DOC_062,"Cody Santos",Cardiology,0,26
DOC_063,"Matthew Adams",Cardiology,1,16
DOC_064,"John Gonzalez",Cardiology,0,10
DOC_065,"Dylan Johnson",Cardiology,0,2
DOC_066,"Donald Gonzales",Cardiology,1,19
DOC_067,"Nancy Johnson",Oncology,0,6
DOC_068,"Christine Flores",Endocrinology,0,19
DOC_069,"Marcus Irwin",Endocrinology,0,8
DOC_070,"James Brown",Cardiology,1,14
DOC_071,"Cody Summers",Nephrology,0,10
DOC_072,"Michael Contreras",Oncology,0,3
DOC_073,"Melissa May","General Surgery",0,29
DOC_074,"Angela Ellis",Pediatrics,1,15
DOC_075,"Peter Mckenzie","Emergency Medicine",1,23
DOC_076,"Mark Brown",Cardiology,0,23
DOC_077,"Joshua Munoz","General Surgery",1,18
DOC_078,"Elizabeth Adams",Cardiology,0,19
DOC_079,"Robin Kent",Oncology,0,28
DOC_080,"Brent Miller",Oncology,0,26
DOC_081,"Debra Arnold",Endocrinology,1,10
DOC_082,"Michelle Guerra","Emergency Medicine",0,4
DOC_083,"Elizabeth Combs",Nephrology,1,2
DOC_084,"Joan King",Oncology,0,3
DOC_085,"Christopher Brown",Pulmonology,0,7
DOC_086,"Thomas Alvarez",Pediatrics,1,16
DOC_087,"Jackie Young MD",Oncology,0,31
